pseudocode,balavatika_located_yn,special_training,material_training,free_text_books_pr,free_uniform_pr,free_text_books_up,free_uniform_up,acad_inspections,crc_coordinator,block_level_officers,district_officers,smc_exists,smc_smdc_same,smc_smdc_meetings,grants_receipt,grants_expenditure
2885631,2,9,1,1,1,1,1,0,0,0,0,1,9,0,75000,75000
1451270,2,9,1,1,2,1,2,0,0,0,0,1,9,0,0,0
1903079,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9009771,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2066653,2,9,1,1,1,1,1,0,0,0,0,1,9,0,75000,75000
4110746,2,9,2,1,2,2,2,0,0,0,0,1,9,0,0,0
7906682,2,9,2,1,2,1,2,0,0,0,0,1,9,0,0,0
4445395,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
3917729,2,9,1,1,2,2,2,0,10,5,0,1,9,0,50000,50000
3841774,2,9,1,1,2,2,2,0,0,5,0,1,9,0,0,0
9692670,2,9,1,1,1,2,2,13,6,3,0,1,9,9,0,0
4216139,2,9,1,1,1,2,2,16,7,6,4,1,9,11,50000,50000
6943694,2,9,1,1,2,2,2,27,7,19,1,1,9,10,25000,25000
8552461,2,9,2,2,2,2,2,0,0,0,0,1,9,0,0,0
6319201,2,9,2,1,1,2,2,58,12,56,0,1,9,10,75000,75000
9792554,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
9122235,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
4571962,2,9,1,1,1,1,1,21,10,10,4,1,9,10,71275,71275
6954522,2,9,1,1,1,2,2,14,12,32,5,2,9,0,75000,75000
2187675,2,9,2,1,2,1,2,45,0,44,1,1,9,2,0,0
8962090,2,9,1,1,2,1,2,15,0,14,1,1,9,2,0,0
6724377,2,9,1,1,1,2,2,25,0,5,4,1,9,12,0,0
5947745,2,9,2,1,2,1,2,21,15,6,0,1,9,0,0,0
2784975,2,9,2,2,2,2,2,50,45,36,0,1,9,2,0,0
5122539,2,9,1,1,1,2,2,16,10,6,1,1,9,2,0,0
9166649,2,9,2,1,1,2,2,0,0,0,0,2,9,0,0,0
7014704,2,9,1,1,2,2,2,0,0,56,25,2,9,0,0,0
2906409,2,9,1,1,1,1,1,0,0,0,0,1,9,0,50000,50000
4588382,2,9,1,1,1,2,2,0,0,0,0,1,9,0,25000,25000
